CRN,Cap,Act,Rem,Status
31413,32,--,0,CLOSED
31421,32,--,0,CLOSED
31507,32,--,0,CLOSED
33641,32,--,0,CLOSED
35736,32,--,0,CLOSED
36758,32,--,0,CLOSED
30140,32,--,0,CLOSED
30152,32,--,0,CLOSED
30305,32,--,0,CLOSED
31286,32,--,0,CLOSED
31354,32,--,0,CLOSED
31383,32,--,0,CLOSED
31387,32,--,0,CLOSED
31388,32,--,0,CLOSED
31395,32,--,0,CLOSED
31418,32,--,0,CLOSED
32147,32,--,0,CLOSED
32388,32,--,0,CLOSED
32999,32,--,0,CLOSED
33640,32,--,0,CLOSED
37140,32,--,0,CLOSED
37197,32,--,0,CLOSED
38017,32,--,0,CLOSED
38080,32,--,0,CLOSED
37198,32,--,0,CLOSED
38005,32,--,0,CLOSED
38025,32,--,0,CLOSED
38026,32,--,0,CLOSED
38027,32,--,0,CLOSED
38365,32,--,0,CLOSED
36787,32,--,0,CLOSED
38071,32,--,0,CLOSED
38072,32,--,0,CLOSED
38907,32,--,0,CLOSED
38726,25,--,0,CLOSED
38686,30,--,0,CLOSED
38729,25,7,18,Restricted: Dual Enrollment
38368,32,--,0,CLOSED
37927,25,--,0,CLOSED
31217,32,--,0,CLOSED
31407,32,--,0,CLOSED
33624,32,--,0,CLOSED
33626,32,--,0,CLOSED
32922,32,--,0,Waitlisted
33293,32,--,0,Waitlisted
33294,32,--,0,Waitlisted
30417,27,--,0,CLOSED
30382,32,--,0,CLOSED
37638,32,--,0,CLOSED
31422,32,--,0,CLOSED
35168,32,--,0,CLOSED
38657,32,--,0,CLOSED
30500,32,--,0,CLOSED
32919,32,--,0,CLOSED
37160,32,--,0,CLOSED
37646,32,--,0,CLOSED
36109,32,--,0,CLOSED
36115,32,--,0,CLOSED
37643,32,--,0,CLOSED
38075,32,--,0,CLOSED
35598,32,--,0,Waitlisted
37644,32,--,0,CLOSED
38366,32,--,0,CLOSED
38367,32,--,0,CLOSED
38901,32,--,0,CLOSED
38685,30,--,0,CLOSED
36057,32,--,0,CLOSED
32149,32,--,0,CLOSED
36135,30,--,0,CLOSED
37184,30,--,0,CLOSED
36534,65,--,0,CLOSED
37906,35,--,0,CLOSED
32174,35,--,0,CLOSED
37580,35,--,0,CLOSED
38699,35,--,0,CLOSED
36200,35,--,0,CLOSED
36750,35,--,0,CLOSED
38681,35,--,0,CLOSED
38682,35,--,0,CLOSED
35076,35,--,0,CLOSED
35666,35,--,0,CLOSED
36197,35,--,0,CLOSED
36199,35,--,0,CLOSED
36749,35,--,0,CLOSED
38678,35,--,0,CLOSED
30474,35,--,0,CLOSED
30624,35,--,0,CLOSED
30934,28,--,0,CLOSED
32515,35,--,0,CLOSED
32560,28,--,0,CLOSED
36240,35,--,0,CLOSED
36327,35,--,0,CLOSED
36866,28,--,0,CLOSED
36986,28,--,0,CLOSED
36992,35,--,0,CLOSED
30257,35,--,0,CLOSED
30637,35,--,0,CLOSED
31571,35,--,0,CLOSED
36401,35,--,0,CLOSED
36868,28,--,0,CLOSED
36906,35,--,0,CLOSED
36917,35,--,0,CLOSED
36929,35,--,0,CLOSED
36956,28,--,0,CLOSED
34585,35,--,0,CLOSED
31297,35,--,0,CLOSED
32409,35,--,0,CLOSED
32558,35,--,0,CLOSED
35163,35,--,0,CLOSED
36280,35,--,0,CLOSED
36328,35,--,0,CLOSED
36334,35,--,0,CLOSED
36428,35,--,0,CLOSED
36930,35,--,0,CLOSED
36932,35,--,0,CLOSED
36934,35,--,0,CLOSED
36968,35,--,0,CLOSED
36970,35,--,0,CLOSED
38691,30,--,0,CLOSED
36931,30,--,0,CLOSED
38532,30,--,0,CLOSED
36867,28,--,0,CLOSED
36955,28,--,0,CLOSED
36961,28,--,0,CLOSED
36987,28,--,0,CLOSED
36869,28,--,0,CLOSED
36957,28,--,0,CLOSED
37178,25,--,0,CLOSED
30450,25,--,0,CLOSED
37368,25,--,0,CLOSED
